id,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,latitude,longitude,raw_address,neighborhood_id,buy_price,is_new_development,is_renewal_needed,has_lift,is_exterior,has_parking,floor,house_type,value_m2,neighborhood,district
21741,70.0,59.98,3,1,40.3593397,-3.6983745,Calle de la del Manojo de Rosas,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,129900,0,1,1,1,0,4.0,0,1796.68,Los Ángeles,Villaverde
21740,94.0,54.0,2,2,40.3446298,-3.7151909,"Calle del Talco, 68",Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,144247,0,0,1,1,0,1.0,0,1617.18,San Andrés,Villaverde
21738,108.0,90.0,2,2,40.3577222,-3.6850285,Carretera de Villaverde a Vallecas,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,260000,0,0,1,1,1,4.0,0,1827.79,Los Rosales,Villaverde
21737,126.0,114.0,4,2,40.3433886,-3.7124165,geologia,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,195000,0,0,0,1,1,3.0,0,1617.18,San Andrés,Villaverde
21736,120.0,100.0,5,2,40.348149,-3.7062387,Avenida Real de Pinto,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,190000,0,0,0,1,1,1.0,0,1617.18,San Andrés,Villaverde
21733,85.0,72.83,2,1,40.3528895,-3.689424,Calle de Martinez Oviol,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,131400,0,1,0,1,0,7.0,0,1827.79,Los Rosales,Villaverde
21732,69.0,59.12,2,2,40.3478718,-3.719080030867151,De la Plata - Villaverde,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,118000,0,1,0,1,0,2.0,0,1617.18,San Andrés,Villaverde
21730,123.0,104.0,3,2,40.3600565,-3.685326,"Calle de la Unanimidad, 67",Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,195000,0,0,1,1,0,4.0,0,1827.79,Los Rosales,Villaverde
21729,109.0,90.0,3,2,40.35101745,-3.701777508622853,"Calle de Anoeta, 63",Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,205000,0,0,1,1,0,3.0,0,1796.68,Los Ángeles,Villaverde
21728,64.0,54.84,3,1,40.3405118,-3.6881634,Calle GODELLA,Neighborhood 135: San Cristóbal (1308.89 €/m2) - District 21: Villaverde,72000,0,0,0,1,0,3.0,0,1308.89,San Cristóbal,Villaverde
21716,75.0,68.0,3,1,40.3434827,-3.7041769,COBALTO s/n,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,138000,0,0,0,1,1,3.0,0,1617.18,San Andrés,Villaverde
21714,65.0,63.0,3,1,40.3533479,-3.6909476,Calle Villajoyosa,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,150000,0,1,1,1,0,1.0,0,1827.79,Los Rosales,Villaverde
21713,70.0,63.0,2,1,40.3431405,-3.7174703,Paseo de Alberto Palacios,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,145900,0,0,0,1,0,3.0,0,1617.18,San Andrés,Villaverde
21711,123.0,105.39,3,2,40.3577222,-3.6850285,Carretera de Villaverde a Vallecas,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,298000,0,0,1,1,1,7.0,0,1827.79,Los Rosales,Villaverde
21708,61.0,56.0,3,1,40.3540894,-3.6816592,"Concepción de la Oliva, 21",Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,100000,0,0,0,1,0,5.0,0,2197.8,Butarque,Villaverde
21707,71.0,60.84,3,1,40.3465238,-3.7041664,San Neviano - Villaverde,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,131400,0,1,0,1,0,1.0,0,1617.18,San Andrés,Villaverde
21702,125.0,107.11,3,3,40.34903,-3.6760582,Calle ESTEFANITA,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,275000,0,0,1,1,0,7.0,1,2197.8,Butarque,Villaverde
21698,103.0,88.26,4,2,40.3593397,-3.6983745,Calle de la del Manojo de Rosas,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,171900,0,0,1,1,0,1.0,0,1796.68,Los Ángeles,Villaverde
21696,45.0,41.0,2,1,40.3516003,-3.6926224,Calle de Juan José Martínez Seco,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,85000,0,1,0,1,0,1.0,0,1827.79,Los Rosales,Villaverde
21693,125.0,107.11,3,2,40.34903,-3.6760582,"Calle Estefanita, 6",Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,272500,0,0,1,1,0,7.0,1,2197.8,Butarque,Villaverde
21692,126.0,105.0,4,2,40.3417163,-3.675929,Calle Berrocal,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,275000,0,0,1,1,1,0.0,0,2197.8,Butarque,Villaverde
21691,158.0,135.38,3,2,40.3560432,-3.6820183,"Calle Euskalduna, 14",Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,289000,0,0,1,1,1,4.0,2,2197.8,Butarque,Villaverde
21689,108.0,92.54,3,2,40.3503366,-3.7050198,Calle Alcocer,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,179000,0,0,1,1,0,4.0,0,1796.68,Los Ángeles,Villaverde
21686,112.0,80.0,3,2,40.3507213,-3.6791018,"Calle Calcio, 15",Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,289000,0,0,1,1,1,3.0,0,2197.8,Butarque,Villaverde
21685,109.0,93.4,3,2,40.3408421,-3.6773645,"Calle Camas, 2",Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,216278,1,0,1,1,1,2.0,0,2197.8,Butarque,Villaverde
21684,107.0,91.68,3,2,40.3408421,-3.6773645,"Calle Camas, 2",Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,207503,1,0,1,1,1,1.0,0,2197.8,Butarque,Villaverde
21683,76.0,65.12,2,2,40.3408421,-3.6773645,"Calle Camas, 2",Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,162793,1,0,1,1,1,3.0,0,2197.8,Butarque,Villaverde
21682,105.0,89.97,3,2,40.3408421,-3.6773645,"Calle Camas, 2",Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,204999,1,0,1,1,1,1.0,0,2197.8,Butarque,Villaverde
21681,109.0,93.4,3,2,40.3408421,-3.6773645,"Calle Camas, 2",Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,220879,1,0,1,1,1,4.0,0,2197.8,Butarque,Villaverde
21680,108.0,92.54,3,2,40.3408421,-3.6773645,"Calle Camas, 2",Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,218258,1,0,1,1,1,4.0,0,2197.8,Butarque,Villaverde
21679,109.0,93.4,3,2,40.3408421,-3.6773645,"Calle Camas, 2",Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,231855,1,0,1,1,1,0.0,0,2197.8,Butarque,Villaverde
21678,76.0,65.12,2,2,40.3408421,-3.6773645,"Calle Camas, 2",Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,163397,1,0,1,1,1,4.0,0,2197.8,Butarque,Villaverde
21677,76.0,65.12,2,2,40.3408421,-3.6773645,"Calle Camas, 2",Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,160759,1,0,1,1,1,2.0,0,2197.8,Butarque,Villaverde
21676,108.0,92.54,3,2,40.3408421,-3.6773645,"Calle Camas, 2",Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,217169,1,0,1,1,1,3.0,0,2197.8,Butarque,Villaverde
21675,76.0,65.12,2,2,40.3408421,-3.6773645,"Calle Camas, 2",Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,165208,1,0,1,1,1,5.0,0,2197.8,Butarque,Villaverde
21674,109.0,93.4,3,2,40.3408421,-3.6773645,"Calle Camas, 2",Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,219775,1,0,1,1,1,3.0,0,2197.8,Butarque,Villaverde
21673,108.0,92.54,3,2,40.3408421,-3.6773645,"Calle Camas, 2",Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,230817,1,0,1,1,1,0.0,0,2197.8,Butarque,Villaverde
