id,title,subtitle,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,latitude,longitude,raw_address,neighborhood_id,rent_price,buy_price,is_new_development,is_renewal_needed,has_lift,is_exterior,energy_certificate,has_parking,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,floor,house_type,value_m2,neighborhood,district
21741,Piso en venta en calle de la del Manojo de Rosas,"Los Ángeles, Madrid",70.0,59.98,3,1,40.3593397,-3.6983745,Calle de la del Manojo de Rosas,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,666,129900,0,1,1,1,0,0,0,0,1,0,0,4.0,0.0,1796.68,Los Ángeles,Villaverde
21740,"Piso en venta en calle del Talco, 68","San Andrés, Madrid",94.0,54.0,2,2,40.3446298,-3.7151909,"Calle del Talco, 68",Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,722,144247,0,0,1,1,0,0,0,0,0,0,1,1.0,0.0,1617.18,San Andrés,Villaverde
21738,Piso en venta en carretera de Villaverde a Vallecas,"Los Rosales, Madrid",108.0,90.0,2,2,40.3577222,-3.6850285,Carretera de Villaverde a Vallecas,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,1094,260000,0,0,1,1,0,1,0,1,0,0,1,4.0,0.0,1827.79,Los Rosales,Villaverde
21737,Piso en venta en geologia,"San Andrés, Madrid",126.0,114.0,4,2,40.3433886,-3.7124165,geologia,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,901,195000,0,0,0,1,0,1,0,0,1,1,0,3.0,0.0,1617.18,San Andrés,Villaverde
21736,Piso en venta en avenida Real de Pinto,"San Andrés, Madrid",120.0,100.0,5,2,40.348149,-3.7062387,Avenida Real de Pinto,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,884,190000,0,0,0,1,2,1,0,1,1,1,1,1.0,0.0,1617.18,San Andrés,Villaverde
21733,Piso en venta en calle de Martinez Oviol,"Los Rosales, Madrid",85.0,72.83,2,1,40.3528895,-3.689424,Calle de Martinez Oviol,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,672,131400,0,1,0,1,0,0,0,0,1,0,0,7.0,0.0,1827.79,Los Rosales,Villaverde
21732,Piso en venta en De la Plata - Villaverde,"San Andrés, Madrid",69.0,59.12,2,2,40.3478718,-3.719080030867151,De la Plata - Villaverde,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,617,118000,0,1,0,1,0,0,0,0,1,0,0,2.0,0.0,1617.18,San Andrés,Villaverde
21730,"Piso en venta en calle de la Unanimidad, 67","Los Rosales, Madrid",123.0,104.0,3,2,40.3600565,-3.685326,"Calle de la Unanimidad, 67",Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,901,195000,0,0,1,1,4,0,0,0,0,0,0,4.0,0.0,1827.79,Los Rosales,Villaverde
21729,"Piso en venta en calle de Anoeta, 63","Los Ángeles, Madrid",109.0,90.0,3,2,40.35101745,-3.701777508622853,"Calle de Anoeta, 63",Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,933,205000,0,0,1,1,3,0,0,0,1,0,1,3.0,0.0,1796.68,Los Ángeles,Villaverde
21728,Piso en venta en calle GODELLA,"San Cristóbal, Madrid",64.0,54.84,3,1,40.3405118,-3.6881634,Calle GODELLA,Neighborhood 135: San Cristóbal (1308.89 €/m2) - District 21: Villaverde,408,72000,0,0,0,1,2,0,0,0,1,0,0,3.0,0.0,1308.89,San Cristóbal,Villaverde
21716,Piso en venta en COBALTO s/n,"San Andrés, Madrid",75.0,68.0,3,1,40.3434827,-3.7041769,COBALTO s/n,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,698,138000,0,0,0,1,0,1,0,0,1,0,0,3.0,0.0,1617.18,San Andrés,Villaverde
21714,Piso en venta en calle Villajoyosa,"Los Rosales, Madrid",65.0,63.0,3,1,40.3533479,-3.6909476,Calle Villajoyosa,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,744,150000,0,1,1,1,0,0,0,1,0,0,0,1.0,0.0,1827.79,Los Rosales,Villaverde
21713,Piso en venta en paseo de Alberto Palacios,"San Andrés, Madrid",70.0,63.0,2,1,40.3431405,-3.7174703,Paseo de Alberto Palacios,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,728,145900,0,0,0,1,3,0,0,0,1,1,0,3.0,0.0,1617.18,San Andrés,Villaverde
21711,Piso en venta en carretera de Villaverde a Vallecas,"Los Rosales, Madrid",123.0,105.39,3,2,40.3577222,-3.6850285,Carretera de Villaverde a Vallecas,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,1195,298000,0,0,1,1,0,1,0,1,0,0,1,7.0,0.0,1827.79,Los Rosales,Villaverde
21708,"Piso en venta en Concepción de la Oliva, 21","Butarque, Madrid",61.0,56.0,3,1,40.3540894,-3.6816592,"Concepción de la Oliva, 21",Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,539,100000,0,0,0,1,0,0,0,0,0,1,0,5.0,0.0,2197.8,Butarque,Villaverde
21707,Piso en venta en San Neviano - Villaverde,"San Andrés, Madrid",71.0,60.84,3,1,40.3465238,-3.7041664,San Neviano - Villaverde,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,672,131400,0,1,0,1,0,0,0,0,1,0,0,1.0,0.0,1617.18,San Andrés,Villaverde
21702,Dúplex en venta en calle ESTEFANITA,"Butarque, Madrid",125.0,107.11,3,3,40.34903,-3.6760582,Calle ESTEFANITA,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,1135,275000,0,0,1,1,4,0,0,1,1,0,1,7.0,1.0,2197.8,Butarque,Villaverde
21698,Piso en venta en calle de la del Manojo de Rosas,"Los Ángeles, Madrid",103.0,88.26,4,2,40.3593397,-3.6983745,Calle de la del Manojo de Rosas,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,823,171900,0,0,1,1,0,0,0,0,0,0,1,1.0,0.0,1796.68,Los Ángeles,Villaverde
21696,Piso en venta en calle de Juan José Martínez Seco,"Los Rosales, Madrid",45.0,41.0,2,1,40.3516003,-3.6926224,Calle de Juan José Martínez Seco,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,471,85000,0,1,0,1,3,0,0,0,0,1,0,1.0,0.0,1827.79,Los Rosales,Villaverde
21693,"Dúplex en venta en calle Estefanita, 6","Butarque, Madrid",125.0,107.11,3,2,40.34903,-3.6760582,"Calle Estefanita, 6",Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,1128,272500,0,0,1,1,2,0,0,1,1,0,1,7.0,1.0,2197.8,Butarque,Villaverde
21692,Piso en venta en calle Berrocal,"Butarque, Madrid",126.0,105.0,4,2,40.3417163,-3.675929,Calle Berrocal,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,1135,275000,0,0,1,1,0,1,0,1,1,0,1,0.0,0.0,2197.8,Butarque,Villaverde
21691,"Ático en venta en calle Euskalduna, 14","Butarque, Madrid",158.0,135.38,3,2,40.3560432,-3.6820183,"Calle Euskalduna, 14",Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,1172,289000,0,0,1,1,0,1,0,1,1,0,1,4.0,2.0,2197.8,Butarque,Villaverde
21689,Piso en venta en calle Alcocer,"Los Ángeles, Madrid",108.0,92.54,3,2,40.3503366,-3.7050198,Calle Alcocer,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,847,179000,0,0,1,1,0,0,0,0,1,0,0,4.0,0.0,1796.68,Los Ángeles,Villaverde
21686,"Piso en venta en calle Calcio, 15","Butarque, Madrid",112.0,80.0,3,2,40.3507213,-3.6791018,"Calle Calcio, 15",Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,1172,289000,0,0,1,1,3,1,0,1,0,0,1,3.0,0.0,2197.8,Butarque,Villaverde
21685,"Piso en venta en calle Camas, 2","Butarque, Madrid",109.0,93.4,3,2,40.3408421,-3.6773645,"Calle Camas, 2",Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,968,216278,1,0,1,1,0,1,0,1,1,0,1,2.0,0.0,2197.8,Butarque,Villaverde
21684,"Piso en venta en calle Camas, 2","Butarque, Madrid",107.0,91.68,3,2,40.3408421,-3.6773645,"Calle Camas, 2",Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,940,207503,1,0,1,1,0,1,0,1,1,0,1,1.0,0.0,2197.8,Butarque,Villaverde
21683,"Piso en venta en calle Camas, 2","Butarque, Madrid",76.0,65.12,2,2,40.3408421,-3.6773645,"Calle Camas, 2",Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,790,162793,1,0,1,1,0,1,0,1,0,0,1,3.0,0.0,2197.8,Butarque,Villaverde
21682,"Piso en venta en calle Camas, 2","Butarque, Madrid",105.0,89.97,3,2,40.3408421,-3.6773645,"Calle Camas, 2",Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,933,204999,1,0,1,1,0,1,0,1,1,0,1,1.0,0.0,2197.8,Butarque,Villaverde
21681,"Piso en venta en calle Camas, 2","Butarque, Madrid",109.0,93.4,3,2,40.3408421,-3.6773645,"Calle Camas, 2",Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,982,220879,1,0,1,1,0,1,0,1,1,0,1,4.0,0.0,2197.8,Butarque,Villaverde
21680,"Piso en venta en calle Camas, 2","Butarque, Madrid",108.0,92.54,3,2,40.3408421,-3.6773645,"Calle Camas, 2",Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,974,218258,1,0,1,1,0,1,0,1,1,0,1,4.0,0.0,2197.8,Butarque,Villaverde
21679,"Piso en venta en calle Camas, 2","Butarque, Madrid",109.0,93.4,3,2,40.3408421,-3.6773645,"Calle Camas, 2",Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,1014,231855,1,0,1,1,0,1,0,1,1,0,1,0.0,0.0,2197.8,Butarque,Villaverde
21678,"Piso en venta en calle Camas, 2","Butarque, Madrid",76.0,65.12,2,2,40.3408421,-3.6773645,"Calle Camas, 2",Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,793,163397,1,0,1,1,0,1,0,1,0,0,1,4.0,0.0,2197.8,Butarque,Villaverde
21677,"Piso en venta en calle Camas, 2","Butarque, Madrid",76.0,65.12,2,2,40.3408421,-3.6773645,"Calle Camas, 2",Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,783,160759,1,0,1,1,0,1,0,1,0,0,1,2.0,0.0,2197.8,Butarque,Villaverde
21676,"Piso en venta en calle Camas, 2","Butarque, Madrid",108.0,92.54,3,2,40.3408421,-3.6773645,"Calle Camas, 2",Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,970,217169,1,0,1,1,0,1,0,1,1,0,1,3.0,0.0,2197.8,Butarque,Villaverde
21675,"Piso en venta en calle Camas, 2","Butarque, Madrid",76.0,65.12,2,2,40.3408421,-3.6773645,"Calle Camas, 2",Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,799,165208,1,0,1,1,0,1,0,1,0,0,1,5.0,0.0,2197.8,Butarque,Villaverde
21674,"Piso en venta en calle Camas, 2","Butarque, Madrid",109.0,93.4,3,2,40.3408421,-3.6773645,"Calle Camas, 2",Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,978,219775,1,0,1,1,0,1,0,1,1,0,1,3.0,0.0,2197.8,Butarque,Villaverde
21673,"Piso en venta en calle Camas, 2","Butarque, Madrid",108.0,92.54,3,2,40.3408421,-3.6773645,"Calle Camas, 2",Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,1011,230817,1,0,1,1,0,1,0,1,1,0,1,0.0,0.0,2197.8,Butarque,Villaverde
21672,"Piso en venta en calle Camas, 2","Butarque, Madrid",108.0,92.54,3,2,40.3408421,-3.6773645,"Calle Camas, 2",Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,960,213722,1,0,1,1,0,1,0,1,1,0,1,2.0,0.0,2197.8,Butarque,Villaverde
21656,"Dúplex en venta en calle Estefanita, 6","Butarque, Madrid",140.0,119.96,3,3,40.34903,-3.6760582,"Calle Estefanita, 6",Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,1128,272500,0,0,1,1,4,0,0,1,1,0,1,7.0,1.0,2197.8,Butarque,Villaverde
21655,Piso en venta en calle del Estroncio,"Los Rosales, Madrid",58.0,49.7,3,1,40.3474954,-3.6903199,Calle del Estroncio,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,471,85000,0,0,0,1,3,0,0,0,0,0,0,2.0,0.0,1827.79,Los Rosales,Villaverde
21654,Piso en venta en calle Moncada,"San Cristóbal, Madrid",65.0,55.7,3,1,40.3409648,-3.6920084,Calle Moncada,Neighborhood 135: San Cristóbal (1308.89 €/m2) - District 21: Villaverde,512,94000,0,0,0,1,0,0,0,0,1,0,0,1.0,0.0,1308.89,San Cristóbal,Villaverde
21653,Piso en venta en calle de Martinez Oviol,"Los Rosales, Madrid",110.0,94.25,4,2,40.3528895,-3.689424,Calle de Martinez Oviol,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,833,175000,0,0,0,1,3,0,0,0,1,1,0,1.0,0.0,1827.79,Los Rosales,Villaverde
21649,"Piso en venta en calle de la Generosidad, 16","Los Rosales, Madrid",125.0,87.0,3,2,40.3598385,-3.6913126,"Calle de la Generosidad, 16",Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,948,210000,0,0,1,1,6,1,0,0,0,0,1,1.0,0.0,1827.79,Los Rosales,Villaverde
21648,Piso en venta en calle de Tordegrillos,"San Andrés, Madrid",58.0,49.7,2,1,40.3431904,-3.7167725,Calle de Tordegrillos,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,471,85000,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,1617.18,San Andrés,Villaverde
21647,Piso en venta en avenida de la Verbena de la Paloma,"Los Ángeles, Madrid",92.0,78.83,3,1,40.3564179,-3.6958271,Avenida de la Verbena de la Paloma,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,780,159900,0,0,1,1,0,0,0,0,1,0,0,6.0,0.0,1796.68,Los Ángeles,Villaverde
21646,"Piso en venta en paseo Alberto Palacios, 35","San Andrés, Madrid",70.0,59.98,2,1,40.3427726,-3.717851,"Paseo Alberto Palacios, 35",Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,613,117000,0,0,0,1,0,0,0,0,0,0,0,3.0,0.0,1617.18,San Andrés,Villaverde
21643,Piso en venta en calle de los Cacereños,"San Andrés, Madrid",108.0,92.54,3,1,40.3454189,-3.7143311,Calle de los Cacereños,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,705,140000,0,0,0,1,0,0,0,0,1,0,0,2.0,0.0,1617.18,San Andrés,Villaverde
21642,Piso en venta en calle de Campos Ibáñez,"Los Rosales, Madrid",65.0,52.0,2,1,40.3538685,-3.6834603,Calle de Campos Ibáñez,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,568,106500,0,0,0,1,0,0,0,0,1,0,0,3.0,0.0,1827.79,Los Rosales,Villaverde
