sq_mt_built,n_rooms,n_bathrooms,latitude,longitude,address,buy_price,is_new_development,is_renewal_needed,has_lift,is_exterior,has_parking,floor,neighborhood_id,house_type_id,district_id
278.0,6,3,40.4372765,-3.6900525,barrio Almagro,1395000.0,0,0,1,1,1,2.0,73,0,7
125.0,3,2,40.43717,-3.6990102,Calle de ponzano,620000.0,0,0,1,1,0,4.0,73,2,7
62.0,1,1,40.4374144,-3.6722866,"Calle Iriarte, 27",249000.0,0,0,0,1,0,0.0,109,0,4
210.0,3,4,40.4365526,-3.6925992,Calle de José Abascal,1599000.0,0,0,1,1,0,2.0,73,0,7
180.0,3,3,40.4313169,-3.6950588,Calle de Zurbano,1585000.0,0,0,1,1,1,5.0,73,0,7
335.0,3,3,40.4319391,-3.6903397,Calle de Alfonso X,2580000.0,0,0,1,1,1,5.0,73,2,7
335.0,3,3,40.4319391,-3.6920397,ALFONSO X,2580000.0,0,0,1,1,0,5.0,73,1,7
391.0,5,4,40.4285216,-3.683895,Calle de Ayala,3970000.0,0,0,1,1,0,2.0,112,0,4
190.0,4,3,40.4366359,-3.6930641,barrio Almagro,1220000.0,0,1,1,1,1,2.0,73,0,7
255.0,4,3,40.4313701,-3.6840725,barrio Castellana,2450000.0,0,1,1,1,1,3.0,111,0,4
167.0,4,2,40.4335828,-3.6980786,barrio Almagro,980000.0,0,1,1,1,0,2.0,73,0,7
234.0,6,3,40.461511,-3.692907,sor angela de la cruz,785000.0,0,0,1,1,0,3.0,22,0,6
78.0,3,2,40.4323814,-3.6792463,Calle de Padilla,470000.0,0,1,1,0,0,1.0,110,0,4
448.0,6,5,40.4504468,-3.6905184,barrio El Viso,2225000.0,0,0,1,1,1,4.0,90,0,5
444.0,7,4,40.4303576,-3.6799664,barrio Castellana,2600000.0,0,1,1,1,1,2.0,111,0,4
126.0,4,1,40.4292472,-3.6949366,Calle CARACAS,595000.0,0,0,1,1,0,0.0,73,0,7
485.0,5,5,40.4343845,-3.6928509,Calle Eduardo Dato,5200000.0,0,0,1,1,1,8.0,73,2,7
250.0,4,4,40.4395623,-3.680454,Calle del Príncipe de Vergara,1200000.0,0,0,1,1,0,2.0,90,0,5
81.0,1,1,40.4502712,-3.6860054,Calle de Alfonso Rodríguez Santamaría,750000.0,0,0,1,1,0,1.0,90,0,5
273.0,3,1,40.4277844,-3.6916756,barrio Almagro,2460000.0,0,0,1,1,0,0.0,73,1,7
