sq_mt_built,n_rooms,n_bathrooms,latitude,longitude,address,buy_price,is_new_development,is_renewal_needed,has_lift,is_exterior,has_parking,floor,neighborhood_id,house_type_id,district_id
84.0,2,2,40.4655984,-3.7154639,Calle Valdeverdeja,329900.0,0,0,1,1,1,1.0,40,0,9
234.0,6,3,40.461511,-3.692907,sor angela de la cruz,785000.0,0,0,1,1,0,3.0,22,0,6
85.0,2,2,40.4574603,-3.6891544,barrio Bernabéu-Hispanoamérica,590000.0,0,0,1,1,0,1.0,92,0,5
544.0,4,5,40.4639274,-3.726329,barrio Ciudad Universitaria,1560000.0,0,0,1,1,1,4.0,39,1,9
408.0,4,4,40.4665149,-3.6805614,barrio Nueva España,2340000.0,0,0,1,1,1,0.0,89,0,5
590.0,3,4,40.4631991,-3.6818789,barrio Nueva España,5800000.0,0,0,1,1,1,4.0,89,2,5
181.0,5,3,40.4544254,-3.6930872,Calle de Pedro Teixeira,795000.0,0,1,1,1,1,4.0,21,0,6
431.0,3,4,40.4652873,-3.6843837,Mateo Inurria,2600000.0,0,0,0,0,1,0.0,89,3,5
35.0,1,1,40.4553367,-3.6985659,Calle Lérida,259000.0,0,0,1,1,0,2.0,21,0,6
246.0,6,4,40.4606934,-3.6944198,barrio Cuzco-Castillejos,880000.0,0,1,1,1,1,9.0,22,0,6
355.0,6,4,40.4639579,-3.6822511,barrio Nueva España,1550000.0,0,0,1,1,1,2.0,89,0,5
196.0,4,3,40.4582306,-3.690043,barrio Bernabéu-Hispanoamérica,1100000.0,0,1,1,1,1,3.0,92,0,5
271.0,4,4,40.4667991,-3.6837789,barrio Nueva España,2300000.0,0,0,1,1,1,3.0,89,0,5
486.0,5,3,40.4639149,-3.6815614,barrio Nueva España,2590000.0,0,0,1,1,0,4.0,89,1,5
367.0,4,4,40.4648358,-3.6824394,barrio Nueva España,2450000.0,0,1,1,1,1,8.0,89,0,5
46.0,1,1,40.4551139,-3.7053203,barrio Bellas Vistas,214000.0,0,0,1,1,0,4.0,24,0,6
63.0,2,1,40.4513151,-3.6942988,barrio Cuatro Caminos,450000.0,0,1,1,1,0,23.0,21,0,6
203.0,4,4,40.4540998,-3.6922965,barrio Cuatro Caminos,1425000.0,0,0,1,1,1,14.0,21,0,6
259.0,6,3,40.4543187,-3.6926167,barrio Cuatro Caminos,860000.0,0,1,1,1,1,8.0,21,0,6
153.0,4,2,40.485202,-3.7041471,barrio La Paz,550000.0,0,0,1,1,0,12.0,57,0,8
