sq_mt_built,n_rooms,n_bathrooms,latitude,longitude,buy_price,is_new_development,is_renewal_needed,has_lift,is_exterior,has_parking,floor,house_type,value_m2,neighborhood,district
139.0,3,2,40.4228289,-3.7059328,750000.0,0,0,0,1,0,1,0,5196.25,Malasaña-Universidad,Centro
278.0,6,3,40.4372765,-3.6900525,1395000.0,0,0,1,1,1,2,0,6564.27,Almagro,Chamberí
125.0,3,2,40.43717,-3.6990102,620000.0,0,0,1,1,0,4,2,6564.27,Almagro,Chamberí
128.0,3,2,40.4279556,-3.6849593,1050000.0,0,1,1,1,0,3,0,8392.43,Recoletos,Salamanca
383.0,3,4,40.4217391,-3.7085923,2990000.0,0,0,1,1,1,10,0,5196.25,Malasaña-Universidad,Centro
135.0,3,2,40.4278513,-3.6804411,1090000.0,0,0,1,1,0,5,0,5681.21,Lista,Salamanca
120.0,3,1,40.4150449,-3.7010749,535000.0,0,0,0,1,0,3,0,5000.0,Huertas-Cortes,Centro
132.0,2,2,40.4267553,-3.6839762,1380000.0,0,0,1,1,0,1,0,8392.43,Recoletos,Salamanca
210.0,3,4,40.4365526,-3.6925992,1599000.0,0,0,1,1,0,2,0,6564.27,Almagro,Chamberí
180.0,3,3,40.4313169,-3.6950588,1585000.0,0,0,1,1,1,5,0,6564.27,Almagro,Chamberí
183.0,3,2,40.4210853,-3.6837466,1310000.0,0,0,1,0,0,1,0,8392.43,Recoletos,Salamanca
210.0,3,3,40.4262417,-3.6865849,1800000.0,0,0,1,0,0,3,0,8392.43,Recoletos,Salamanca
386.0,3,3,40.4226391,-3.7092923,2990000.0,0,0,1,1,1,11,2,5196.25,Malasaña-Universidad,Centro
335.0,3,3,40.4319391,-3.6903397,2580000.0,0,0,1,1,1,5,2,6564.27,Almagro,Chamberí
444.0,5,4,40.4281576,-3.6795664,2950000.0,0,1,1,1,1,4,0,6882.35,Castellana,Salamanca
335.0,3,3,40.4319391,-3.6920397,2580000.0,0,0,1,1,0,5,1,6564.27,Almagro,Chamberí
404.0,5,6,40.4285814,-3.682167,3970000.0,0,0,1,1,0,2,0,8392.43,Recoletos,Salamanca
391.0,5,4,40.4285216,-3.683895,3970000.0,0,0,1,1,0,2,0,8392.43,Recoletos,Salamanca
190.0,4,3,40.4366359,-3.6930641,1220000.0,0,1,1,1,1,2,0,6564.27,Almagro,Chamberí
255.0,4,3,40.4313701,-3.6840725,2450000.0,0,1,1,1,1,3,0,6882.35,Castellana,Salamanca
