sq_mt_built,n_rooms,n_bathrooms,latitude,longitude,address,buy_price,is_new_development,is_renewal_needed,has_lift,is_exterior,has_parking,floor,neighborhood_id,house_type_id,district_id
139.0,3,2,40.4228289,-3.7059328,"Calle PIZARRO, 8",750000.0,0,0,0,1,0,1,105,0,1
278.0,6,3,40.4372765,-3.6900525,barrio Almagro,1395000.0,0,0,1,1,1,2,73,0,7
125.0,3,2,40.43717,-3.6990102,Calle de ponzano,620000.0,0,0,1,1,0,4,73,2,7
128.0,3,2,40.4279556,-3.6849593,"Calle de Lagasca, 68",1050000.0,0,1,1,1,0,3,112,0,4
383.0,3,4,40.4217391,-3.7085923,Via Gran,2990000.0,0,0,1,1,1,10,105,0,1
135.0,3,2,40.4278513,-3.6804411,Calle de Don Ramón de la Cruz,1090000.0,0,0,1,1,0,5,110,0,4
120.0,3,1,40.4150449,-3.7010749,Calle LEON,535000.0,0,0,0,1,0,3,102,0,1
132.0,2,2,40.4267553,-3.6839762,Calle de Claudio Coello,1380000.0,0,0,1,1,0,1,112,0,4
210.0,3,4,40.4365526,-3.6925992,Calle de José Abascal,1599000.0,0,0,1,1,0,2,73,0,7
180.0,3,3,40.4313169,-3.6950588,Calle de Zurbano,1585000.0,0,0,1,1,1,5,73,0,7
183.0,3,2,40.4210853,-3.6837466,Calle de Villanueva,1310000.0,0,0,1,0,0,1,112,0,4
210.0,3,3,40.4262417,-3.6865849,Calle de Serrano,1800000.0,0,0,1,0,0,3,112,0,4
386.0,3,3,40.4226391,-3.7092923,"Calle Gran Vía, 68",2990000.0,0,0,1,1,1,11,105,2,1
335.0,3,3,40.4319391,-3.6903397,Calle de Alfonso X,2580000.0,0,0,1,1,1,5,73,2,7
444.0,5,4,40.4281576,-3.6795664,Calle de Castelló,2950000.0,0,1,1,1,1,4,111,0,4
335.0,3,3,40.4319391,-3.6920397,ALFONSO X,2580000.0,0,0,1,1,0,5,73,1,7
404.0,5,6,40.4285814,-3.682167,Calle de Ayala,3970000.0,0,0,1,1,0,2,112,0,4
391.0,5,4,40.4285216,-3.683895,Calle de Ayala,3970000.0,0,0,1,1,0,2,112,0,4
190.0,4,3,40.4366359,-3.6930641,barrio Almagro,1220000.0,0,1,1,1,1,2,73,0,7
255.0,4,3,40.4313701,-3.6840725,barrio Castellana,2450000.0,0,1,1,1,1,3,111,0,4
