neighborhood,latitude,longitude,district,value_m2
Los Ángeles,40.3562217,-3.6996388,17,1796.68
San Andrés,40.2851175,-3.7955493,17,1617.18
Los Rosales,40.3571948,-3.6894484,17,1827.79
San Cristóbal,40.3433537,-3.6878175,17,1308.89
Butarque,40.3364041,-3.6742402,17,2197.8
Ambroz,40.4147946,-3.60034,19,2094.51
Casco Histórico de Vicálvaro,40.4052863,-3.6072004,19,2064.65
Valdebernardo - Valderribas,40.396222,-3.616032,19,2750.0
Casco Histórico de Vallecas,40.3773477,-3.6217118,18,1956.0
Ensanche de Vallecas - La Gavia,40.3665916,-3.6173166,18,2677.28
Santa Eugenia,40.3829244,-3.6117674,18,2175.93
Orcasitas,40.3691419,-3.7098741,12,1931.95
San Fermín,40.3711037,-3.6901759,12,1912.8
Almendrales,40.3843762,-3.6992931,12,2205.31
Moscardó,40.3890429,-3.7057718,12,2284.48
Zofío,40.379209,-3.7152846,12,1941.38
Pradolongo,40.376647,-3.7077784,12,2068.64
12 de Octubre-Orcasur,40.372662,-3.698627,12,1637.13
Valdeacederas,40.4679108,-3.7034226,6,3163.8
Berruguete,40.4602706,-3.7043452,6,3273.56
Cuatro Caminos,40.4467812,-3.7039643,6,4247.49
Cuzco-Castillejos,40.4594841,-3.6900166,6,4347.59
Ventilla-Almenara,40.4698213,-3.696293,6,3314.54
Bellas Vistas,40.4529595,-3.7072641,6,3536.07
Adelfas,40.4019026,-3.6709579,3,4020.62
Ibiza,40.4189526,-3.6737251,3,5492.17
Pacífico,40.4013961,-3.6748832,3,4105.12
Niño Jesús,40.4110941,-3.6737205,3,4935.6
Jerónimos,40.4131439,-3.6842184,3,6739.32
Estrella,40.4117618,-3.6669977,3,4246.58
Palomeras Bajas,40.3853367,-3.6579829,13,1983.7
San Diego,40.3922796,-3.6674239,13,2007.79
Palomeras sureste,40.387764700000005,-3.634079250898958,13,2076.58
Entrevías,40.377656650000006,-3.674761075548501,13,1574.36
Numancia,40.3995283,-3.6596765,13,2081.94
Portazgo,40.3930132,-3.659194,13,1896.75
Aravaca,40.457749,-3.7827941,9,3600.4
Argüelles,40.4307266,-3.7161715,9,4807.69
Ciudad Universitaria,40.4436804,-3.7268294,9,3810.08
Valdezarza,40.4649542,-3.717074,9,2951.77
Fontarrón,40.399161,-3.6462064,14,2319.44
Media Legua,40.4119951,-3.6575338,14,2803.11
Marroquina,40.4107193,-3.6405684,14,2928.57
Vinateros,40.4051965,-3.6415467,14,2538.1
Horcajo,40.4081864,-3.6267762,14,0.0
Pavones,40.3996221,-3.6317093,14,0.0
Puerta del Ángel,40.4137225,-3.7271715,10,2443.62
Los Cármenes,40.395458,-3.7437776,10,2458.61
Águilas,24.0437533,-104.6627443,10,2110.34
Lucero,40.4048009,-3.7452693,10,2363.25
Aluche,40.3879228,-3.7548539,10,2190.48
Campamento,40.3946832,-3.7682788,10,2275.63
Cuatro Vientos,40.3686775,-3.7781656,10,0.0
Valdemarín,40.46685345,-3.787092528171622,9,4249.04
Casa de Campo,40.42406795,-3.755857557288471,9,3630.68
Las Tablas,40.5083428,-3.6694346,8,4256.38
La Paz,40.48212215,-3.695211267895985,8,3500.0
Peñagrande,40.4789641,-3.7258417,8,3271.96
Tres Olivos - Valverde,40.500197,-3.6943002,8,2648.73
Montecarmelo,40.5049545,-3.6958019,8,4610.95
Pilar,40.4771334,-3.7089157,8,3222.22
Mirasierra,40.4906361,-3.7161379,8,3695.5
Fuentelarreina,40.4774958,-3.7426018,8,3371.55
Arroyo del Fresno,40.499444,-3.7208721,8,3718.4
Conde Orgaz-Piovera,40.4566911,-3.64758835,16,4275.46
Sanchinarro,40.4931887,-3.6564023,16,4456.18
Palomas,40.4522376,-3.6141158,16,3773.82
Pinar del Rey,40.4724696,-3.6489613,16,2915.33
Canillas,40.4618893,-3.6433517,16,3152.53
