sq_mt_built,n_rooms,n_bathrooms,latitude,longitude,is_new_development,is_renewal_needed,has_lift,is_exterior,has_parking,floor,house_type_id,value_m2,neighborhood,district,buy_price,log_buy_price
51.0,1,1,40.3472,-3.70438,1,0,1,1,1,3.0,0,1617.18,San Andrés,Villaverde,163000.0,5.212187604403958
98.0,2,2,40.3606,-3.69252,1,0,1,1,1,0.0,0,1827.79,Los Rosales,Villaverde,294900.0,5.469674772551798
110.0,3,2,40.3663,-3.68527,0,0,1,1,1,1.0,0,1912.8,San Fermín,Usera,239000.0,5.378397900948138
64.0,3,1,40.355,-3.69355,0,0,1,1,0,1.0,0,1796.68,Los Ángeles,Villaverde,115100.0,5.061075323629792
95.0,3,1,40.3628,-3.69888,0,0,1,1,0,3.0,0,1796.68,Los Ángeles,Villaverde,152000.0,5.181843587944773
98.0,3,2,40.3541,-3.70119,0,0,1,1,0,1.0,0,1796.68,Los Ángeles,Villaverde,190000.0,5.278753600952829
69.0,3,1,40.3433,-3.71334,0,0,0,1,0,3.0,0,1617.18,San Andrés,Villaverde,113000.0,5.05307844348342
61.0,2,1,40.3684,-3.68802,0,0,1,1,1,2.0,0,1912.8,San Fermín,Usera,195000.0,5.290034611362518
83.0,3,1,40.3492,-3.69171,0,0,0,0,0,0.0,0,1827.79,Los Rosales,Villaverde,120000.0,5.079181246047625
96.0,3,2,40.3491,-3.69794,0,0,0,1,0,4.0,0,1796.68,Los Ángeles,Villaverde,135000.0,5.1303337684950066
111.0,3,2,40.3633,-3.69606,0,1,0,1,0,1.0,0,1637.13,12 de Octubre-Orcasur,Usera,178000.0,5.250420002308894
108.0,3,1,40.3673,-3.69972,0,0,1,0,0,6.0,0,1637.13,12 de Octubre-Orcasur,Usera,145000.0,5.161368002234975
110.0,3,2,40.3544,-3.68459,0,0,1,1,1,3.0,0,2197.8,Butarque,Villaverde,249900.0,5.39776625612645
133.0,3,2,40.3661,-3.7037,0,0,0,1,1,0.0,0,1931.95,Orcasitas,Usera,187000.0,5.271841606536499
75.0,3,1,40.368,-3.69776,0,0,0,1,0,4.0,0,1637.13,12 de Octubre-Orcasur,Usera,110000.0,5.041392685158225
90.0,3,1,40.3675,-3.68924,0,0,1,1,0,0.0,0,1912.8,San Fermín,Usera,149000.0,5.173186268412274
93.0,3,1,40.3534,-3.69973,0,0,1,1,0,7.0,0,1796.68,Los Ángeles,Villaverde,185000.0,5.267171728403014
108.0,4,1,40.3447,-3.7081,0,0,0,1,0,1.0,0,1617.18,San Andrés,Villaverde,168630.0,5.2269348400126
101.0,4,1,40.3423,-3.71105,0,0,0,1,0,1.0,0,1617.18,San Andrés,Villaverde,145630.0,5.163250849512631
112.0,2,1,40.3698,-3.70925,0,0,0,1,0,2.0,0,1931.95,Orcasitas,Usera,175000.0,5.243038048686294
272.0,4,4,40.4238,-3.67315,0,1,1,1,1,2.0,0,5887.64,Goya,Salamanca,1140000.0,6.056904851336473
162.0,3,2,40.4231,-3.67538,0,0,1,1,0,4.0,0,5887.64,Goya,Salamanca,1240000.0,6.093421685162235
90.0,2,2,40.4253,-3.67097,0,0,1,1,0,4.0,0,5887.64,Goya,Salamanca,615000.0,5.788875115775417
113.0,3,1,40.4255,-3.67206,0,1,1,1,0,2.0,0,5887.64,Goya,Salamanca,559000.0,5.747411807886423
183.0,5,2,40.4251,-3.66849,0,1,1,1,0,1.0,0,5887.64,Goya,Salamanca,950000.0,5.977723605288848
211.0,4,2,40.4226,-3.67358,0,0,1,1,0,2.0,0,5887.64,Goya,Salamanca,998000.0,5.999130541287371
200.0,4,3,40.4203,-3.66992,0,0,1,1,1,6.0,0,4246.58,Estrella,Retiro,850000.0,5.929418925714293
50.0,2,2,40.421,-3.67602,0,0,1,0,0,3.0,0,5887.64,Goya,Salamanca,390000.0,5.5910646070264995
173.0,4,3,40.4221,-3.67516,0,1,1,1,0,2.0,0,5887.64,Goya,Salamanca,885000.0,5.946943270697825
91.0,1,1,40.426,-3.66895,0,0,1,1,0,4.0,0,4452.82,Fuente del Berro,Salamanca,370000.0,5.568201724066995
520.0,5,4,40.4527,-3.6471,0,0,1,1,1,3.0,1,4275.46,Conde Orgaz-Piovera,Hortaleza,1790000.0,6.252853030979893
442.0,5,6,40.4538,-3.65284,0,0,0,0,1,0.0,3,4275.46,Conde Orgaz-Piovera,Hortaleza,1830000.0,6.26245108973043
340.0,5,5,40.4574,-3.63352,0,0,0,0,1,0.0,3,4275.46,Conde Orgaz-Piovera,Hortaleza,1390000.0,6.143014800254095
194.0,4,3,40.4525,-3.64853,0,0,1,1,1,4.0,0,4275.46,Conde Orgaz-Piovera,Hortaleza,1250000.0,6.096910013008056
