sq_mt_built,n_rooms,n_bathrooms,latitude,longitude,address,buy_price,is_new_development,is_renewal_needed,has_lift,is_exterior,has_parking,floor,neighborhood_id,house_type_id,district_id
246.0,3,3,40.4664511,-3.6757136,"Avenida de Pío XII, 57",795000.0,0,1,0,1,1,0.0,89,0,5
182.0,3,3,40.4707551,-3.6763472,"Avenida de Burgos, 5",1400000.0,0,0,1,1,1,1.0,91,0,5
81.0,1,1,40.4502712,-3.6860054,Calle de Alfonso Rodríguez Santamaría,750000.0,0,0,1,1,0,1.0,90,0,5
234.0,6,3,40.461511,-3.692907,sor angela de la cruz,785000.0,0,0,1,1,0,3.0,22,0,6
206.0,4,2,40.457633,-3.6777511,BOLIVIA,1100000.0,0,1,1,1,1,1.0,92,0,5
448.0,6,5,40.4504468,-3.6905184,barrio El Viso,2225000.0,0,0,1,1,1,4.0,90,0,5
408.0,4,4,40.4665149,-3.6805614,barrio Nueva España,2340000.0,0,0,1,1,1,0.0,89,0,5
140.0,3,2,40.4636655,-3.6665845,barrio Nueva España,740000.0,0,0,1,1,1,4.0,89,0,5
181.0,5,3,40.4544254,-3.6930872,Calle de Pedro Teixeira,795000.0,0,1,1,1,1,4.0,21,0,6
431.0,3,4,40.4652873,-3.6843837,Mateo Inurria,2600000.0,0,0,0,0,1,0.0,89,3,5
35.0,1,1,40.4553367,-3.6985659,Calle Lérida,259000.0,0,0,1,1,0,2.0,21,0,6
590.0,3,4,40.4631991,-3.6818789,barrio Nueva España,5800000.0,0,0,1,1,1,4.0,89,2,5
246.0,6,4,40.4606934,-3.6944198,barrio Cuzco-Castillejos,880000.0,0,1,1,1,1,9.0,22,0,6
614.0,9,6,40.457226,-3.6812169,barrio Bernabéu-Hispanoamérica,2400000.0,0,1,1,1,1,1.0,92,0,5
168.0,3,2,40.4722187,-3.6704833,SERRANO GALVACHE,799000.0,0,0,1,1,1,8.0,84,0,15
106.0,2,3,40.4513308,-3.6869115,barrio El Viso,695000.0,0,0,1,1,0,0.0,90,0,5
85.0,2,2,40.4574603,-3.6891544,barrio Bernabéu-Hispanoamérica,590000.0,0,0,1,1,0,1.0,92,0,5
131.0,3,2,40.4599595,-3.6685768,barrio Nueva España,730000.0,0,0,1,1,1,1.0,89,0,5
188.0,4,4,40.4613394,-3.6684338,barrio Nueva España,850000.0,0,1,1,1,1,4.0,89,0,5
355.0,6,4,40.4639579,-3.6822511,barrio Nueva España,1550000.0,0,0,1,1,1,2.0,89,0,5
